factory,output_resource,work_hours,power,output_per_hour,aluminum,batteries,ganjium,poppy_straw,plastic,steel,grass,uranium
Завод SIG MG 710,SIG MG 710 (р),1,23,1,105,0,263,0,0,293,0,140
Завод SIG-550,SIG-550 (р),3,8,1,0,0,240,0,0,180,300,51
Завод SSG 550,SSG 550 (р),3,8,1,0,0,190,0,0,170,180,48
Завод Savage 100FP,Savage 100FP (р),1,43,1,194,0,485,0,0,539,0,259
Завод Savage 10FP,Savage 10FP (р),1,36,1,160,0,400,0,0,444,0,213
Завод Steyr AUG,Steyr AUG (р),3,10,1,0,0,150,0,0,100,310,30
Завод Tacticam X01,Tacticam X01 (р),3,6,1,0,0,110,0,0,100,190,36
Завод Toyota Celica,Toyota Celica (р),1,3,1,0,0,45,40,0,65,0,27
Завод UMP,UMP (р),3,3,1,0,0,45,0,0,40,50,21
Завод XM8,XM8 (р),3,5,1,0,0,85,0,0,60,100,30
Завод АГС-30,АГС-30 (р),1,50,1,131,0,435,0,0,12,0,63
Завод Брен L4,Брен L4 (р),3,8,1,0,0,150,0,0,150,160,48
Завод ГМ-94,ГМ-94 (р),1,50,1,0,0,330,0,0,136,560,50
Завод ОР-1,OP-1 (р),3,1,1,0,0,5,0,0,7,9,6
Завод ПП Beretta MX4,Beretta MX4 (р),1,23,1,105,0,263,0,0,293,0,140
Завод ПП FMG-9,FMG-9 (р),1,23,1,105,0,263,0,0,293,0,125
Завод ПП Вихрь,ПП Вихрь (р),1,8,1,0,0,175,0,0,190,220,48
Завод ПП Каштан,ПП Каштан (р),3,6,1,0,0,110,0,0,100,190,36
Завод ПТРК Корнет,ПТРК Корнет (р),1,16,1,72,0,180,0,0,200,0,96
Завод РПГ,РПГ (р),1,14,1,0,0,400,0,0,350,600,184
Завод СВД,СВД (р),3,10,1,0,0,220,0,0,200,430,60
Завод Сайга,Сайга (р),1,8,1,0,0,175,0,0,155,300,48
Завод автоматов G3-AA,G3-AA (р),1,21,1,97,0,241,0,0,268,0,129
Завод бронежилетов CamelBak Delta,CamelBak Delta Vest (р),1,40,1,180,0,400,0,0,500,0,240
Завод бронежилетов Eclipse,Бронежилет Eclipse (р),1,50,1,228,0,560,0,0,630,0,300
Завод велосипедов,Велосипед (р),1,1,1,0,0,5,7,0,5,0,6
Завод винтовок AK-5,Bofors AK-5 (р),1,47,1,211,0,527,0,0,585,0,281
Завод винтовок AMR-2,AMR-2 (р),1,96,1,432,0,1080,0,0,1200,0,576
Завод винтовок APS 95,APS 95 (р),1,57,1,257,0,643,0,0,714,0,343
Завод винтовок Beretta,Beretta ARX-160 (р),1,21,1,97,0,241,0,0,268,0,129
Завод винтовок Bor 7.62,Bor 7.62 (р),1,57,1,257,0,643,0,0,714,0,343
Завод винтовок Bushmaster,Bushmaster M17s (р),1,43,1,193,0,483,0,0,537,0,258
Завод винтовок CIS SR-88,CIS SR-88 (р),1,23,1,105,0,263,0,0,293,0,140
Завод винтовок CZ-805,CZ-805 (р),1,55,1,245,0,630,0,0,680,0,330
Завод винтовок Enfield SA-80,Enfield SA-80 (р),1,54,1,242,0,604,0,0,671,0,322
Завод винтовок F&D Defence .308,F&D Defence .308 (р),1,57,1,257,0,643,0,0,714,0,343
Завод винтовок FN SCAR,FN SCAR Mk.16 (р),1,50,1,224,0,560,0,0,622,0,299
Завод винтовок FS2000,Винтовка FS2000 (р),1,40,1,178,0,446,0,0,495,0,238
Завод винтовок Falcon,Falcon (р),1,24,1,110,0,274,0,0,305,0,146
Завод винтовок HK 417,HK 417 (р),1,41,1,184,0,461,0,0,512,0,246
Завод винтовок HK MR762,HK MR762 (р),1,55,1,247,0,617,0,0,686,0,329
Завод винтовок IWS-2007,Steyr IWS-2007 (р),1,39,1,176,0,441,0,0,490,0,235
Завод винтовок M-82,M-82 Valmet (р),1,30,1,133,0,334,0,0,371,0,178
Завод винтовок Noreen ULR .338,Noreen ULR .338 (р),1,48,1,216,0,540,0,0,600,0,288
Завод винтовок Remington R11,Remington R11 (р),1,50,1,226,0,566,0,0,629,0,302
Завод винтовок S2 Tiger,S2 Tiger (р),1,49,1,220,0,549,0,0,610,0,293
Завод винтовок SOAR,SOAR (р),1,110,1,500,0,1240,0,0,1400,0,660
Завод винтовок Tikka,Tikka T3 Tactical (р),1,48,1,218,0,544,0,0,605,0,290
Завод гранат F-1,Граната F-1 (р),6,1,1,0,0,8,0,0,10,18,6
Завод гранат HG-78,Граната HG-78 (р),3,1,1,0,0,43,0,0,35,100,18
Завод гранат HG-84,Граната HG-84 (р),3,1,1,0,0,41,0,0,36,96,17
Завод гранат HellsBreath,HellsBreath,1,1,1,0,0,3,0,0,1,10,3
Завод гранат РГД-2С,РГД-2С,3,1,1,0,0,3,0,0,3,36,6
Завод гранат РГД-5,Граната РГД-5 (р),6,1,1,0,0,3,0,0,5,8,6
Завод гранат РКГ-3,Граната РКГ-3 (р),5,1,1,0,0,30,0,0,50,80,6
Завод гранатомётов Балкан,Балкан 40мм (р),1,29,1,132,0,329,0,0,366,0,176
Завод дробовиков SPAS 15,SPAS 15 (р),1,35,1,158,0,395,0,0,439,0,211
Завод имени Молотова,Коктейль Молотова,1,1,1,0,0,3,0,0,1,8,6
Завод маскировки Pro-Hunter,Pro-Hunter Safari (р),1,5,1,0,0,50,0,0,80,100,30
Завод маскхалатов Shadow Squad,Маскхалат Shadow Squad (р),1,40,1,180,0,400,0,0,500,0,240
Завод мотоциклов,Мотоцикл (р),1,4,1,0,0,30,35,0,30,0,24
Завод пистолетов ТТ,Пистолет ТТ (р),1,1,1,0,0,22,0,0,32,12,6
Завод подствольников М203,M203 (р),1,27,1,0,0,282,591,0,227,0,164
Завод полевых биноклей,Полевой бинокль (р),1,34,1,0,0,330,700,0,260,0,200
Завод пулемётов AAT,AAT m.52 (р),1,57,1,255,0,637,0,0,707,0,340
Завод пулемётов HK MG-4,Пулемёт HK MG-4 (р),1,57,1,257,0,643,0,0,714,0,343
Завод пулемётов M-61,M-61 Volcano (р),1,55,1,246,0,615,0,0,683,0,328
Завод пулемётов MG-36,HK MG-36 (р),1,59,1,263,0,659,0,0,732,0,351
Завод пулемётов MG-45,MG-45 Sturm (р),1,80,1,116,0,660,0,0,344,0,92
Завод пулемётов Type 67,Type 67 HMG (р),1,21,1,97,0,241,0,0,268,0,129
Завод пулемётов VZ-59,VZ-59 Heavy Gun (р),1,47,1,211,0,527,0,0,585,0,281
Завод пулемётов Vektor SS-77,Vektor SS-77 (р),1,53,1,237,0,591,0,0,657,0,315
Завод пулемётов Vickers MG,Vickers MG Light (р),1,40,1,180,0,450,0,0,500,0,240
Завод пулемётов XK-12,XK-12 7.62 (р),1,57,1,250,0,850,0,0,715,0,340
Завод пулемётов XM 806,XM 806 (р),1,57,1,250,0,640,0,0,715,0,340
Завод пулемётов XM-312,XM-312 (р),1,49,1,220,0,549,0,0,610,0,293
Завод пулемётов Zastava M87,Zastava M87 (р),1,132.24,1,596.24,0,1491.76,0,0,1656.48,0,795.76
Завод пулемётов «Галил»,АRM «Галил» (р),1,20,1,88,0,220,0,0,244,0,117
Завод пулемётов КОРД-6П50,КОРД-6П50 (р),1,57,1,250,0,850,0,0,715,0,340
Завод пулемётов НСВ,НСВ (р),1,18,1,79,0,198,0,0,220,0,105
Завод пулемётов Форт-401,Форт-401 (р),1,57,1,257,0,643,0,0,714,0,343
Завод самолётов Cessna 182,Cessna 182 (р),1,23,1,103,0,257,0,0,286,0,137
Завод фонарей Intruder,Фонарь Intruder (р),3,8,1,0,0,84,200,0,40,0,48
Завод шлемов IBS,Шлем IBS (р),1,40,1,180,0,450,0,0,500,0,240
Картофелемётный завод,Картофелемёт (р),5,1,1,0,0,2,0,0,3,4,6
Лаборатория,Ганджиум,16,1,1,0,0,0,0,0,0,40,6
Рогаточная мастерская,Рогатка (р),6,1,1,0,0,3,0,0,6,9,6
Табачная фабрика,Табак,1,1,1,0,0,2,0,2,0,0,38
Фабрика Advanced Multitool,Advanced Multitool (р),1,23,1,100,0,265,0,0,290,0,150
Фабрика F-Стимуляторов,F-Стимулятор (р),1,1,1,0,0,16,33,0,0,0,8
Фабрика GL-06,GL-06 40mm (р),1,50,1,0,0,358,0,0,191,607,55
Фабрика Molle WF,Подсумок Molle WF (р),1,36,1,0,0,360,600,0,300,0,250
Фабрика Multitool,Multitool (р),1,20,1,110,0,270,0,0,290,0,150
Фабрика S-Vision,Очки S-Vision (р),3,9,1,0,0,210,280,0,250,0,54
Фабрика S-Стимуляторов,S-Стимулятор (р),1,2,1,0,0,21,41,0,0,0,11
Фабрика Vektor R4,Vektor R4 (р),1,80,1,245,0,700,0,0,808,0,118
Фабрика Брони 1 кл.,Бронежилет 1 кл. (р),3,2,1,0,0,48,65,0,35,0,12
Фабрика Брони 2 кл.,Бронежилет 2 кл. (р),3,6,1,0,0,135,200,0,120,0,36
Фабрика Брони 3 кл.,Бронежилет 3 кл. (р),3,8,1,0,0,160,215,0,120,0,48
Фабрика Карабинов R8,Карабин R8 (р),1,50,1,226,0,566,0,0,629,0,302
Фабрика МФИ-7,МФИ-7 (р),1,23,1,100,0,260,0,0,280,0,330
Фабрика ПП Agram,Agram 2000 (р),1,14,1,61,0,154,0,0,171,0,82
Фабрика ПП Colt m636,Colt m636 (р),1,18,1,79,0,198,0,0,220,0,105
Фабрика ПП FMK-3,FMK-3 (р),1,12,1,53,0,132,0,0,146,0,70
Фабрика ПП S.A.F,S.A.F (р),1,14,1,61,0,154,0,0,171,0,82
Фабрика ПП Scorpion Evo,ПП Scorpion EVO (р),1,55,1,53,0,250,0,0,212,0,42
Фабрика ПП Steyr Mpi,Steyr Mpi 81 (р),1,13,1,59,0,147,0,0,163,0,78
Фабрика ПП Бизон,ПП-19 Бизон (р),1,15,1,66,0,165,0,0,183,0,88
Фабрика ПП Кедр,ПП Кедр (р),1,17,1,75,0,187,0,0,207,0,100
Фабрика РПГ-16,РПГ-16 «Гром» (р),1,50,1,149,0,493,0,0,95,0,71
Фабрика РПГ-У,РПГ-У (р),1,50,1,158,0,522,0,0,133,0,76
Фабрика Шлема 1 кл.,Шлем 1 кл. (р),3,1,1,0,0,12,32,0,15,0,6
Фабрика Шлема 3 кл.,Шлем 3 кл. (р),3,4,1,0,0,100,110,0,75,0,24
Фабрика армейских бот.,Армейские ботинки (р),3,2,1,0,0,12,24,0,20,0,12
Фабрика армейских поясов,Армейский пояс (р),1,30,1,0,0,310,500,0,250,0,180
Фабрика бригадирских часов,Часы Бригадирские (р),1,30,1,0,0,350,650,0,250,0,180
Фабрика бронежилетов SA-7,Броня SA-7 (р),1,33,1,0,0,342,717,0,276,0,199
Фабрика брони Spec Ops,Spec Ops Vest (р),1,55,1,0,0,275,0,0,168,513,46
Фабрика винтовок Benelli,Benelli M4 (р),1,23,1,105,0,263,0,0,293,0,140
Фабрика винтовок CZ-700,CZ 700 M1 (р),1,51,1,229,0,573,0,0,637,0,306
Фабрика винтовок Keppeler,Keppeler KS-V (р),1,54,1,241,0,604,0,0,671,0,322
Фабрика гранат EMP-S,Граната EMP-S (р),5,1,1,18,0,55,0,0,64,0,14
Фабрика гранат M3,Граната M3 (р),3,1,1,15,0,51,0,0,31,0,12
Фабрика гранат ME-85 FG,ME-85 Frag Grenade (р),5,1,1,0,0,24,0,0,41,68,11
Фабрика гранат Mk-5,Mk-5 Frag Grenade,2,1,1,0,0,10,0,0,10,58,5
Фабрика гранат ДГ-1,ДГ-1,5,1,1,0,0,25,0,0,40,66,10
Фабрика гранат ОР-1С,ОР-1С,4,1,1,0,0,8,0,0,4,20,4
Фабрика гранат ОР-2С,ОР-2С,8,1,1,0,0,30,0,0,50,100,8
Фабрика детекторов TNSense,Детектор TNSense (р),3,10,1,0,0,120,230,0,90,0,62
Фабрика дробовиков HAWK,HAWK 97 (р),1,18,1,79,0,198,0,0,220,0,105
Фабрика дробовиков Neostead,Neostead (р),1,20,1,88,0,220,0,0,244,0,117
Фабрика дробовиков VersaMax Tactical,VersaMax Tactical (р),1,46,1,206,0,514,0,0,571,0,274
Фабрика дробовиков XM-26,XM-26 LSS (р),1,17,1,75,0,187,0,0,207,0,100
Фабрика дробовиков Рысь,Рысь (р),1,15,1,66,0,165,0,0,183,0,88
Фабрика инженерных поясов,Пояс инженера (р),1,30,1,0,0,310,650,0,250,0,180
Фабрика камуфляжа,Камуфляж (р),3,6,1,0,0,105,370,0,30,0,36
Фабрика камуфляжей Forest Ghost,Камуфляж Forest Ghost (р),1,35,1,150,0,400,0,0,440,0,210
Фабрика камуфляжных плащей,Камуфляжный плащ (р),3,4,1,0,0,42,100,0,20,0,24
Фабрика камуфляжных поясов,Камуфляжный пояс (р),1,6,1,0,0,59,124,0,48,0,34
Фабрика кевларовой брони,Кевларовая броня (р),1,31,1,0,0,321,672,0,259,0,186
Фабрика кевларовых щитков,Кевларовые щитки (р),3,6,1,0,0,130,130,0,70,0,36
Фабрика комплектов брони,Комплект апгрейда брони,1,8,1,10,10,15,0,10,0,0,0
Фабрика красных таблеток,Красная таблетка (р),1,1,1,0,0,9,15,0,0,0,4
Фабрика лёгких рюкзаков,Лёгкий рюкзак (р),1,3,1,0,0,35,62,0,35,0,18
Фабрика маскировки Woodland,Woodland Camo (р),1,6,1,0,0,135,200,0,120,0,36
Фабрика маскхалатов KillSuit,Маскхалат KillSuit (р),1,5,1,0,0,85,0,0,60,100,30
Фабрика напалма,Напалм,1,1,1,0,0,4,0,0,1,10,7
Фабрика нетбуков,Greenbook (р),1,29,1,132,0,329,0,0,366,0,176
Фабрика ножей OKC-3S,Нож OKC-3S (р),1,20,1,100,0,250,0,0,270,0,150
Фабрика охотничьего камуфляжа,Охотничий камуфляж (р),1,25,1,0,0,170,360,0,130,0,100
Фабрика поясов «Барсук»,Пояс «Барсук» (р),1,50,1,0,0,360,0,0,200,610,55
Фабрика поясов наёмника,Пояс наёмника (р),1,33,1,0,0,338,709,0,273,0,196
Фабрика пулемётов Venom,mk48 Venom (р),1,49,1,220,0,549,0,0,610,0,293
Фабрика пулемётов УЗИ,Пистолет-пулемёт УЗИ (р),3,2,1,0,0,33,0,0,34,38,6
Фабрика разгрузочных жилетов,Разгрузочный жилет (р),1,20,1,0,0,180,370,0,138,0,90
Фабрика раций Falcon,Рация Falcon (р),1,35,1,150,0,390,0,0,120,0,211
Фабрика раций SWAT-R1,Рация SWAT-R1 (р),3,12,1,0,0,128,269,0,103,0,74
Фабрика сапёрных лопат 2,Сапёрная лопатка 2 (р),1,6,1,0,0,64,134,0,52,0,37
Фабрика сапёрных лопат,Сапёрная лопатка (р),1,17,1,0,0,171,359,0,138,0,99
Фабрика синих таблеток,Синяя таблетка (р),1,1,1,0,0,13,24,0,0,0,7
Фабрика тактических ремней,Тактический ремень (р),1,36,1,0,0,360,600,0,300,0,250
Фабрика туристических биноклей,Туристический бинокль (р),1,25,1,0,0,256,538,0,207,0,149
Фабрика универсальных лопат,Универсальная лопата (р),1,27,1,0,0,255,553,0,224,0,133
Фабрика фонарей HighLander,Фонарь HighLander (р),5,1,1,13,0,41,0,0,46,0,10
Фабрика широких арм. поясов,Широкий армейский пояс (р),1,30,1,0,0,320,540,0,260,0,250
Фабрика шлемов ACH,AC Helmet (р),1,55,1,0,0,251,0,0,98,469,42
Фабрика шлемов «Defender»,Шлем «Defender» (р),1,23,1,0,0,235,493,0,190,0,137
Фабрика шлемов М-1,Шлем М-1 (р),1,12,1,0,0,128,269,0,103,0,74
Фабрика щитков,Тяжёлые щитки (р),1,16,1,0,0,167,350,0,134,0,97
Цех автомобилей Hummer H1,Hummer H1 (р),1,18,1,82,0,206,0,0,229,0,110
Цех армейских сапог,Армейские сапоги (р),3,12,1,0,0,128,269,0,103,0,74
Цех ботинок Desert Soldier,Ботинки Desert Soldier (р),1,25,1,0,0,257,530,0,207,0,150
Цех брони 5 кл.,Броня 5 класса (р),3,25,1,0,0,257,538,0,207,0,149
Цех брони 6 кл.,Броня 6 класса (р),1,27,1,0,0,278,583,0,224,0,161
Цех брони «Альфа»,Бронежилет «Альфа» (р),1,35,1,0,0,363,762,0,293,0,211
Цех винтовок Bora JNG-90,Bora JNG-90 (р),1,80,1,219,0,625,0,0,620,0,105
Цех гранат EMP-A,Граната EMP-A (р),5,1,1,13,0,41,0,0,46,0,10
Цех гранат EMP-IRS,Граната EMP-IRS (р),5,1,1,13,0,41,0,0,46,0,10
Цех гранат EMP-IR,Граната EMP-IR (р),5,1,1,13,0,41,0,0,46,0,10
Цех гранат M14,M14 Thermite (р),3,1,1,15,0,43,0,0,52,0,18
Цех гранат M34,Граната M34Ph (р),3,1,1,16,0,52,0,0,60,0,13
Цех гранат Mk-6 FG,Mk-6 Frag Grenade (р),3,1,1,0,0,51,0,0,46,120,22
Цех гранатомётов GMG,HK GMG (р),1,50,1,0,0,344,0,0,162,583,53
Цех грузовиков Mack,Грузовик Mack (р),1,16,1,72,0,180,0,0,200,0,96
Цех дробовиков Liberator,Liberator mk3 (р),1,70,1,0,0,605,0,0,508,1027,92
Цех кирзовых сапог,Кирзовые сапоги (р),1,20,1,0,0,203,426,0,164,0,118
Цех комплектов апгрейда шлемов,Комплект апгрейда шлемов,1,8,1,10,10,13,0,11,0,0,0
Цех маскхалатов GSMask,Маскхалат GSMask (р),1,35,1,150,0,430,0,0,120,0,210
Цех маскхалатов Ghost,Маскхалат Ghost (р),1,35,1,150,0,380,0,0,120,0,210
Цех модулей дальности,Модуль дальности,1,15,1,10,0,30,0,0,10,0,2
Цех мотоциклов Yamaha Virago,Yamaha Virago (р),1,17,1,77,0,193,0,0,214,0,103
Цех раций FieldMaster,FieldMaster IP100 (р),8,8,1,0,0,100,230,0,150,0,48
Цех тактических наушников,Тактические наушники (р),1,23,1,100,0,265,0,0,290,0,330
Цех титановых вставок,Титановые вставки (р),1,8,1,0,0,100,230,0,150,0,48
Цех шлемов PAS,PAS Helmet (р),1,19,1,0,0,197,412,0,159,0,114
Цех штурмовых ботинок,Ботинки штурмовика (р),1,25,1,0,0,257,538,0,207,0,149
Часовой цех Synergic,Synergic W-1 (р),1,23,1,105,0,263,0,0,293,0,140
